ID,GAME,RATING,TIME,MIN PLAYERS,MAX PLAYERS,REC PLAYERS,MECHANICS,DEMO,WANTS TO PLAY,OWNS,PLAYED,BGG LINK
177678,Signorie,7.57171,120,2,4,4,"Dice Rolling, Set Collection, Worker Placement",,,,,https://boardgamegeek.com/boardgame/177678
214879,Tomb Trader,7.75,10,3,6,5,Simultaneous Action Selection,,,,,https://boardgamegeek.com/boardgame/214879
15914,Motto,3,0,2,6,,Memory,,,,,https://boardgamegeek.com/boardgame/15914
68448,7 Wonders,7.83235,30,2,7,4,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/68448
168679,Flip City,6.4733,50,1,4,2,"Deck / Pool Building, Press Your Luck",,,,,https://boardgamegeek.com/boardgame/168679
38174,Treasure Hunter,5,0,1,4,,Hand Management,,,,,https://boardgamegeek.com/boardgame/38174
175481,Aqua Park,4.42667,20,2,4,,"Dice Rolling, Set Collection",,,,,https://boardgamegeek.com/boardgame/175481
176215,Odyssey: Wrath of Poseidon,6.25586,30,2,5,2,"Area Movement, Partnerships",,,,,https://boardgamegeek.com/boardgame/176215
211533,Veggie Garden,6.83533,30,2,4,3,"Area Control / Area Influence, Card Drafting, Set Collection",,,,,https://boardgamegeek.com/boardgame/211533
120677,Terra Mystica,8.29477,150,2,5,4,"Route/Network Building, Variable Phase Order, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/120677
59959,Letters from Whitechapel,7.48578,120,2,6,2,"Memory, Partnerships, Point to Point Movement, Secret Unit Deployment",,,,,https://boardgamegeek.com/boardgame/59959
98386,Coconuts,6.2,10,2,6,,"Pattern Recognition, Rock-Paper-Scissors",,,,,https://boardgamegeek.com/boardgame/98386
171915,Dominion: Adventures,8.24976,30,2,4,2,"Card Drafting, Deck / Pool Building, Hand Management",,,,,https://boardgamegeek.com/boardgame/171915
770,Loot,6.29821,20,2,8,4,"Area Control / Area Influence, Hand Management, Partnerships",,,,,https://boardgamegeek.com/boardgame/770
181260,Burano,6.90407,120,2,4,3,"Area Control / Area Influence, Pick-up and Deliver, Set Collection",,,,,https://boardgamegeek.com/boardgame/181260
154386,Medieval Academy,7.08619,30,2,5,4,"Area Control / Area Influence, Card Drafting, Hand Management",,,,,https://boardgamegeek.com/boardgame/154386
143693,Glass Road,7.49546,75,1,4,2,"Card Drafting, Set Collection, Simultaneous Action Selection, Tile Placement, Variable Phase Order",,,,,https://boardgamegeek.com/boardgame/143693
165872,Liberty or Death: The American Insurrection,8.09829,360,1,4,4,"Area Control / Area Influence, Variable Phase Order, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/165872
177147,Survive: Space Attack!,7.27007,60,2,4,4,"Action Point Allowance System, Dice Rolling, Modular Board, Secret Unit Deployment",,,,,https://boardgamegeek.com/boardgame/177147
84419,Space Empires: 4X,7.59176,180,1,4,2,"Auction/Bidding, Dice Rolling, Hex-and-Counter, Paper-and-Pencil, Secret Unit Deployment, Simulation",,,,,https://boardgamegeek.com/boardgame/84419
147299,Pocket Imperium,6.4137,45,2,4,3,"Action / Movement Programming, Area Control / Area Influence, Modular Board, Simultaneous Action Selection",,,,,https://boardgamegeek.com/boardgame/147299
158232,Bedpans & Broomsticks,4.81538,60,2,5,3,,,,,,https://boardgamegeek.com/boardgame/158232
38026,Clue: Harry Potter Edition,6.20901,30,3,5,4,Roll / Spin and Move,,,,,https://boardgamegeek.com/boardgame/38026
122399,Bloqs,6.41162,30,2,4,4,"Card Drafting, Dice Rolling, Hand Management",,,,,https://boardgamegeek.com/boardgame/122399
71,Civilization,7.52334,360,2,7,7,"Area Control / Area Influence, Area Movement, Hand Management, Set Collection, Trading",,,,,https://boardgamegeek.com/boardgame/71
107173,Stalag 17,5.9014,30,2,5,4,"Hand Management, Set Collection",,,,,https://boardgamegeek.com/boardgame/107173
48726,Alien Frontiers,7.49675,90,2,4,3,"Area Control / Area Influence, Card Drafting, Dice Rolling, Worker Placement",,,,,https://boardgamegeek.com/boardgame/48726
180910,Chronicler,5.94611,20,2,4,4,Hand Management,,,,,https://boardgamegeek.com/boardgame/180910
184473,Mystery! Motive for Murder,5.24141,90,1,5,4,"Take That, Tile Placement",,,,,https://boardgamegeek.com/boardgame/184473
147116,The Witcher Adventure Game,6.5152,120,2,4,4,"Action Point Allowance System, Area Movement, Dice Rolling, Pick-up and Deliver, Set Collection, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/147116
92415,Skull,7.07729,45,3,6,5,"Auction/Bidding, Hand Management, Player Elimination",,,,,https://boardgamegeek.com/boardgame/92415
175730,Surviving: One month in,5.72514,90,2,4,3,"Area Control / Area Influence, Modular Board",,,,,https://boardgamegeek.com/boardgame/175730
